das,wars,это всё,
die,Tüte,пакет,
der,Kassenbon,квитанция,
der,Kassenbon,чек,
,möchten Sie etwas dazu,хотите добавить что-то,
,kann ich bitte durch,можно пожалуйста пройти,
,vorsicht,внимание,
,vorsicht,дорогу,
,anliegen,класть,
,von mir aus,я согласен,
,ernst,серьезно,
,heraus,изнутри наружу,
,heraus finden,выяснять,
die,Lösung,решение,
die,Lücke,отверстие,
die,Lücke,пробел,
,wer auch sonst,кто как не мы,
der,Großmaul,хвастун,
der,Zwerg,карлик,
,nicht abgehen,не сходить с рук,
,nicht abgehen,не происходить,
die,Landsleute,соотечественники,
,eben,только,
der,Kumpel,приятель,
,sogar,даже,
,anfangen,начинать,
,lass mich mal überlegen,дай мне немного подумать,
,überlegen,размышлять,
,überlegen,раскладывать по полочкам,
,hintereinander stellen,сталкиваться друг с другом,
,schauen,смотреть,
,rauskommen,выходить в результате,
,wohl,вероятно,
,wieso,как,
,anpassen,применять,
,erinnern,напоминать,
,erinnern,вспоминать,
,erkennen,узнавать,
,schleichen,красться,
der,Dieb,вор,
der,Kerl,парень,
,klauen,украсть,
,erreichen,достигать,
der,Luft,воздух,
,der tief Luft holen,сделать глубокий вдох,
,tief,глубокий,
,grunzen,хмыкать,
,grunzen,дерзко говорить,
,hau ab,катись,
der,Ärger,гнев,
der,Ärger,неприятности,
,drohend,грозно,
,schubsen,толкать,
,in die Arme von jemand,на глазах у кого-то,
,aufgeregt,взволновано,
,zu beruhigen versuchen,пытаться успокоить,
,versuchen,пытаться,
,was passiert ist,что случилось/произошло,
,schildern,описывать,
,schildern,изображать,
,schildern,характеризовать,
,was vorgefallen war,что случилось/произошло,
,sich drehen,поворачиваться,
,aufgeregende,захватывающий,
,ergreifen,схватить,
,ergreifen,ловить,
,geschlafft,получилось,
,schwenken,вертеть,
,schwenken,возвращать,
,zufrieden,довольный,
,grinsen,ухмылка,
,grinsen,оскал,
,entgegen nehmen,забирать,
,vorig,прошлый,
,häufig,часто,
,aufführen,использовать,
,quacken,крякать,
,hölen,ворнякать,
das,Geheimnis,секрет,
,geheimnisvoll,секретный,
das,Knusperhexenhaus,пряничный домик,
,knusprig,хрустящий,
,schütteln,вытрушивать,
,wieder,снова,
der,Gürtel,пояс,
die,Fragerei,вопросы,
der,Oberbegriff,заглавие,
,dessen,его,
das,Geschlecht,пол,
das,Geschlecht,стать,
,unterscheiden,различать,
,außerdem,кроме,
,nennen,называть,