English,Russian,
to freese someone's tush off,Замерзнуть до костей,
dejectedly,удрученно ( в огорченном состоянии ),
snaked,извиваться,
manic gleams,маниакальные проблески,
to stamp,ставить печать,
pavement,тротуар,
sluggish,вялый,
jiggle,покачиваться,
voluble,говорливый,
surge,волна,
ever-tightening claw,постоянно затягивающийся коготь,
to glare,вопить,
twitching,дергающийся,
rescind,аннулировать,[ r i s: i n d]
no-nonsence,нормальный,
flaky,хлопьевидный,
flourish,процветать,
camphor,камфара,
haggling,торг,
mushroomed,собирать (грибы),
to rub,тереться,
screech,завизжать,
halt,остановка,
holy moly,египетская сила,
to mutter,пробормотать,
necklines,вырезы,[n e k l a i n z]
beaded,украшенный бусами,
sleeve,рукав,
ruched,закатаный (рукав),[r u: sh t]
beeline,прямая линия,
frantic,неистовый (безумный),
briskly,быстро,
immaculately,безукорызненно,
squealed,визжал,
twin-set,похожи,
chignon,шиньон,[ s h i n` o n]
tantrum,вспышка гнева,
cherish,лелеять,
bicker,"спорить, ссориться",
loathe,ненавидеть,[ l o a zth ]
cling,"липнуть, цепляться",
relentless,"неумолимый, безжалостный",
BFF,навеки лучшие друзья,
perpetuated,увековечена (сохранена),
crumbling brickwork,рушащаяся кирпичная кладка,
decrepit,дряхлый,
dazzling,ослепительный,
hunky-dory,первокласный,
draped,украшенный тканями,
swathe,"бинтовать, обматывать",
chiffon,шифон (ткань),[ sh i f o: n]
juxtaposition,сопоставление,
dire need,острая необходимость,
incongruous,несоответственный,
mites,"лепта, клещи",
rack,подставка,
excessive,"чрезменный, излишний",
aisle,проход,[ a: i l ]
iridescent sheen,райдужный блеск,
intricate lacework,запутанное кружево,
diaphanous,прозрачный,[ d ai `a: f e n e s]
cessation,прекращение,[ s e s `e i sh e n ]
possessed by,одержим чем-либо,
garment,одежда,
skimmed,соскользнуло,
cinched,"затянул, нажал",[ s i n tch t ]
exquisite,изысканный,
brumby,необъезженная лошадь,
dibs,бабки,
beige,бежевый,[ b e i dj ]
garment bag,мешок одежды,
crooked,кривой,
bra,бюстгальтер,
knickers,дамские панталоны,
emblazoned,украшенный,
thighs,бедра,
bridesmaid,подружка невесты,
wobbly,шаткий,
frou-frou,шелест,
exorbitant,"чрезменый, непомерный",
tax deductible,налоговый вычет,
mortgage,ипотека,[ m o: g i dj ]
clogged,забитый,
slid skyward,скользнул в небо,
hip,бедро,
clutched on to,схватился на,
desperation,отчаяние,
pass out,раздавать,
paisley,Пейсли (имя),
diffused,диффузный,
mother-of-peril,госпожа опасность,
wholly daft,полностью ненормальный,
spate,поток,
abstinence,воздержание,[ e b s t i n e n s ]
knee-jerk,коленный рефлекс,
cure of heat,лечащее действие тепла,
groaning,стон,
flex,сгибать,
personalities,личности,
lick of difference,проблеск разницы,
tetchy lift,раздражительный лифт,
cluttered house,суматошный дом,
chintz,ситец,
frilly curtains,вычурные шторы,
sleek,гладкий,
opulence,богатство,
to sleep over,просыпать,
shoo away,"отпугивать, проганять",
inconvenience,неудобство,
weighed,взвешенный,
crumple,мять,
sob,рыдать,
hold the door,держать дверь,
perverse,извращенный,
incredulity,недоверчивость,
blanched,бланшированый,[ b l a: n sh t ]
twinge of guilt,чувство вины,
jab,ткнуть,
foyer,фойе (вестибюль),[ f o `ie ]
brow pinched into the frown,"лоб извился, нахмурившись",
denim,джинсы,
bulge,выпуклость,
soothing,успокаивающий,
unadulterated,"чистейший, не тронутый",
tidal,приливный,
whoosh,свист,
hasky,хаски,
expanse,пространство,[ i k s p `e n s ]
stubble,щетина,
overkill,перебор (выход за рамки),
complementing,дополняя,
dinky,"изящный, нарядный",
invade,вторгаться,
gravelly,состоящий из гравия,[ g r a: v e l i ]
waggle,покачивание,
cat-call,свист при виде красивой женщины,
belly,живот,
crinkles,извилины,
satchel,ранец,
tingled,покалывать,
pinpricks,уколы,
spine,позвоночник,
yank,рывок,[ ya: n'' k ]
counteract,противодействовать,
thrumming,"бренчать, тренькать, барабанить",
grunted,ворчать,
contrary,вопреки,[ k e n t r `e r i ]
impeccably,безукорызненно,
juddered,,
infinitesimal,,
glint,,
scraggly beard,,
promenade,,
nonchalance,,
notch,,
i'm set,,
bow,,
velvety,,
hallucinating,,
lumberjack,,
friction,,
nemesis,,
sci-fi bent,,
humming,,
drought,,
enigmatic,,
palms itch,,
akin,,
stallion jostling,,
springboard,,
to leap hack,,
addled,,
evoke,,
mere four floors,,
sagely,,
pre-negotiation,,
glint,,
dinged,,
to be wont to do,,
momentum,,
euphemisms,,
stifled,,
yawn,,
jet lag,,
georgeousness gracing,,
tomato-esque,,
resembled,,
serenely,,
combustion,,
imbedded,,
retinas,,
whump,,
reverie,,
shaft,,
halver,,
hulking,,
garment,,
trudge,,
cabbie,,
slanted,,
wink,,
tousled,,
restive,,
hothouse,,
rehitched,,
merely,,
nibbled,,
gut tighten,,
inconvenience,,
hip,,
sway,,
on vertigo,,
investment,,
ship out,,
mortar,,
flattened,,
dint,,
spreadeagled body,,
neatly,,
yawned,,
popped,,
fumbled,,
barebones,,
gargantuan,,
arghuraguragh,,
spun,,
heel,,
fists,,
thundering,,
reposing,,
bent,,
got in one piece,,
cricked,,
frission,,
strode,,
treat,,
power-nap,,
gift born of chronic insomnia,,
godawful,,
hullabaloo,,
contemplated,,
linen,,
pile with blankets,,
fatigue,,
convertible rumbling,,
precarious,,
cliff,,
stir,,
hunching,,
potato wedges,,
stance,,
neglected,,
inducement,,
humming,,
fluoro,,
indiscriminate at,,
fidelity,,
humona humona,,
pork rib,,
as if used to keeping himself upright in stormy seas,,
shrugged,,
had fuzzier principles,,
salivating,,
scouring,,
hunkered down,,
entanglement,,
squirming,,
flutter,,
eyelashes,,
ravage,,
loco,,
tilting,,
moot,,
afresh,,
caressed,,
neutered,,
qualms,,
fidgety,,
emphatically,,
tugged,,
ridden,,
convertible slammed into his head,,
tousled,,
scranched up,,
coiled,,
piranha-infested,,
steadfastly,,
chest rose,,
arching,,
nostrils,,
obvilious,,
actuality,,
brewing,,
moist,,
plump,,
hitchcock,,
vet,,
reproach,,
mob,,
hesitation,,
hole-in-a-wall joint,,
flinch,,
shrivel,,
avow,,
primly,,
hoot,,
groin,,
furrowing,,
eluded,,
thwart,,
check on somebody,,
whatever you say,,
lid,,
the same goes for you,Тебе то же (при прощании),
appeal,,
to pace around,,
jerk,,
outset,,
seductive,,
intimidating,,
deep tan,,
gooey,,
hazard,,
to rovel,,
neglected,,
furnace,,
doorjamb,,
rinse,,
to cup,,
seam,,
blissful,,
trebling,,
to mere threads,,
I would like to make an order for delivery please.,Я бы хотел сделать заказ с доставкой пожалуйста.,
insistent slide,,
stifled,,
delicious hum,,
hip,,
sluggish,,
subterranean,,
fresh goose bumps,,
palpable effort,,
semblance of decency,,
to relive,,
shuddering,,
negate,,
relapse,,
tentative toe,,
to dangle,,
blobs of sunlight,,
tummy,,
smudge,,
eyeliner,,
leggy blonde,,
dalliance,,
expansive,,
beer napkin,,
glimmer of anticipation,,
schmancy joint,,
to get for someone's buck,,
garnish,,
to slap someone on the back,,
antsy,,
to whip the beanie off something,,
nullify,,
to press in on somebody,,
unleashed by,,
to bury someone to the hilt,,
hush-hush,,
cobblestone,,
sensuous,,
frustrated,,
flirtatious,,
to barrell into somebody,,
armpit,,
malaise,,
lounged,,
splayed,,
vindicated,,
relieved,,
conjure,,
wind-tousled knot,,
errant lift,,
unfurled,,
double klump klump,,
to twirle something over,,
wafting skin,,
demure cardigan,,
groin,,
bliss,,
belatedly,,
stark,,
worship,,
"Drinking in the tiny V of her G-string, her pale thighs",,
juncture,,
navel,,
jut,,
urgency,,
tether,,
nudged,,
stretched,,
to plung into,,
makeshift knot,,
scorching,,
ravishing,,
collating,,
serendipitous,,
indulge in a fling,,
panache,,
nearabouts,,
sub-conscious,,
illicit,,
moon-drenched loft,,
heretofore,,
gauge,,
smouldering,,
haywire,,
prickle,,
backdrop,,
imprints,,
lolloping in,,
poor mug,,
cocky,,
forefinger,,
stratospheric,,
schmick,,
as net savvy as,,
white glinting,,
to snag,,
as subtle as,,
ulterior,,
incredulous stare,,
tiny pastry,,
shucking off work,,
shrouded,,
to slant,,
repercussions,,
careening off to,,
obliteration,,
vigilant,,
zealously,,
peachy,,
how good of you to come,,
woozy,,
furrowing,,
cushion,,
bewilderment,,
crook,,
ta-da move,,
kitsch splash,,
jostled,,
coat-hanger tackle,,
quivering,,
swell,,
relinquishing,,
whimpering,,
fuming,,
bunk,,
wince,,
deceptively,,
to topple,,
gritting,,
gnawing,,
innards,,
usurped by,,
fawning,,
seduce,,
timid,,
astute gaze,,
slewed from,,
to belie,,
hazel eyes,,
to give one's goose bumps,,
little fissures splintered to,,
flinging,,
incur,,
conceited,,
anticipation,,
aftermath,,
blurted,,
callous,,
to tempt spirals,,
juddered,,
intermingled,,
urgent,,
desperate,,
pummelled,,
sheathed,,
shaft,,
to tuck a stray lock of hair behind the ear,,
hovering,,
recoil,,
disentangle,,
sly,,
revelation,,
diva,,
to pop the hatch to do something,,
tenant,,
to hiccup,,
creak,,
haunches,,
to rewire,,
to sniff out,,
tonnes,,
pansy-assed,,
stiff back of one's neck,,
detritus,,
sadist,,
cocking a sexy knee,,
dimple,,
pet llama,,
namesake,,
sheen,,
ambled,,
knot tumbled free,,
cricketer,,
gall to,,
feral,,
though,,
guide me with a firm hand,,
nibbling,,
silver-tongued seducer of innocent creatives,,
edible,,
seeped,,
moist,,
insinuation,,
shuddering sigh,,
ushered,,
scoop up,,
recessed,,
tempted,,
eventuated,,
sassy,,
nomad,,
tenderly,,
sizzle,,
fizzle,,
drought,,
armpit,,
feigned nonchalance,,
chopstick,,
merely postponed,,
thumped at triple,,
chattering teeth,,
plonked herself back on the stool,,
miniquiche,,
mortification,,
to feel awash,,
turmoil,,
oblivious,,
goofy,,
theory didn't hold water,,
bouts of athletic lust,,
swerving back to somebody,,
rim of a cocktail glass,,
intimate,,
ambivalence,,
to take a hard gulp,,
to the soles of one's boots,,
daring conocotion,,
satiny lining,,
jaundiced,,
enthused,,
gasped,,
lurched out of control,,
solitaire,,
giddily,,
craving certainty,,
envy,,
sob,,
choke,,
wrenched,,
indecorously braced,,
ottoman,,
pretzel move,,
predicament,,
chartreuse,,
fawning,,
pastry tray,,
waltzed in,,
tech-nerd,,
imminent,,
trundle of trams,,
languid,,
debrief,,
brink,,
conjuring up,,
trampoline,,
smudged,,
glutton,,
encased in,,
tad,,
raging lust,,
abject horror wrestling inside,,
outfoxed,,
accusations,,
loomed above,,
nervous breakdown,,
bolting,,
mockery,мошенничество,
to sleep one's jet lag away,,
hummingbird,,
forlorn,,
va va voom,,
to be completely out of sync,,
sinew,,
sass,,
to flick a fringe off the face,,
saucy,,
saliva,,
fathom,,
vamoose,,
tug,,
shimmying,,
to fit like a glove,,
connotation,,
bent,,
extremities,,
wriggling,,
strapless,,
perspiration,,
hipbone,,
sheathed,,
sated,,
dishevelled,,
bun,,
penchant,,
raucously,,
penchant for scatter cushions,,
anticlimax,,
debacles,,
imprint,,
twiddling,,
refute,,
exhilarating,,
fraught,,
schmoozing,,
wry,,
twisted,,
wanton,,
imploding,,
sumptuous,,
intrepid,,
appetisers,,
yearning,,
blissful,,
subtlety,,
escalating,,
stoic,,
humiliation,,
mollify,,
convoluted,,
seductive,,
valet,,
frill,,
flinch,,
attuned,,
profoundly,,
the gist of someone's ignominy,,
swathe,,
tyres,,
puckered,,
adrift,,
murky haze,,
prospectus,,
perceptive,,
blabber mouth,,
incendiary,,
red pout,,
luscious,,
lustre,,
ajar,,
pretzel,,
screeched,,
princely,,
haul,,
clinked,,
invigorating,,
hence,,
proclamation,,
sloshed,,
trudge down,,
effusive,,
pewter stand,,
taunted,,
wherewithal,,
ounce,,
reminiscing,,
bonkers,,
fallout,,
slumberous,,
devastating wave,,
coherent,,
awe,,
damnable,,
cradling,,
seduction,,
gushed over,,
petrifying,,
churning,,
squidgy,,
suede fringing of an aqua cowboy boot,,
drag queens,,
exaggerated sigh,,
benevolently,,
la shop girl,,
deflated resentment,,
pricked balloon,,
foothold,,
numb,онемевший,
self-recrimination,,
intoxicating,,
sought,,
toughness,,
substance,,
eclectic layer,,
tea towel,,
scoured,,
dregs,,
incontrovertible,,
a hell of a ride,,
to burp out loud,,
musty-smelling throw,,
to find a bar of gold bullion in your cornflakes,,
twirled,,
to deck a guy,,
git,,
sweatshirt,,
hazel,,
watery smile,,
wink,,
congealed,,
derogatory,,
umpires,,
myraid mug rings,,
afghan,,
ferret,,
invincible,,
gawping,,
pigeon cooed,,
bric-a-brac,,
hogwash,,
puond scum,,
righteous,,
lonesome,,
satchel,,
gutsy confession,,
gondolier,,
into giggling swoons,,
nefarious scent,,
armpits,,
precariously,,
vacant,,
tenacity,,
groundswell,,
vertigo,,
exhilaration,,
pervasive,,
recce trip,,
backward,,
soulful,,
blazer,,
to sod off,,
belatedly,,
take-no-prisoners boots,,
thumpety thumping,,
frees up,,
breadth,,
to scrunch the fabric,,
overlong stubble,,
creases,,
to rove over the face,,
rim,,
blanket,,
leather-clad,,
nudgeed,,
beaks,,
lodged,,
past goodness knew what floor,,
inelegantly,,
cessation of vibration,,
lapel,,
averse,,
nuzzled,,
reckon,,
lingering,,
inducement,,
methinks,,
cummerbund,,
besotted teenagers,,
grudgingly,,
chutzpath,,
to call up,позвонить,
fingerpost,,
pale mounds,,
mound,,
to shoot past something,пролететь мимо,
steep,,
elephantine,,
enamelled,,
with briars and brambles,,
subsided,,
beech,,
dilapidated,,
booth,,
derelict,,
to peer through,,
latch,,
concealed,,
windowsill,,
vivid,,
cradle,,
to take hold of something,,
browbeat,,
session-skipping,,
swirl,,
earnest intensity,,
rigorously,,
whimsical,,
succint,,
stanzas,,
thickets of syntax,,
to poke in,,
tedious,,
convey,,
bewilderment,,
unreeling,,
prospect,,
devastating,,
tirade,,
apt epithet,,
pouchy outlines,,
from his point of vantage,,
awnings,,
prams,,
influx,,
to poke out,,
indulge,,
virtuous,,
quarry,,
dourly,,
rescinded,,
encampment,,
semicircular fissure,,
staking,,
burnous,,
calor-gas,,
alders,,
scants,,
averted,,
viciously,,
barbed wire,,
paling,,
honeysuckle,,
blaze of gorse,,
scatter,,
crick,,
bloke,,
eminence,,
insufficient,,
clusters,,
pearling with dew,,
bizarre,,
jade,,
plumage,,
aficonados,,
impassioned indigation,,
sentiments,,
encroaching,,
accompaniment,,
chattered,,
vehement endorsment,,
vehement,,
endorsment,,
to conform with,,
tyros,,
swatted at a gnat,,
wryly,,
law-abidingly,,
opalescent,,
assail,,
patter,,
dwindle,,
bulbous,,
deadpan,,
grieve,,
befitted,,
utterly,,
pitch,,
glaucous,,
twang,,
limply,,
tumult,,
bead-hung,,
earnestness,,
bawling,,
flagellate,,
prevalent,,
dodderer,,
shoving,,
brambles,,
superannuated,,
revoltingly,,
muffle,,
decency,,
interlopers,,
gawky,,
declivity,,
vicinity,,
engrossed,,
voyeurism,,
atavistic,,
primeval,,
entwined,,
encanopied,,
throb,,
to queue up for,вставать в очередь за чем-то,
all the way up,вдоль,
arson,,
dispossessed,,
keening swell,,
sultry,,
pot,,
indulge,,
drug swoops,,
to fret about,,
hamburger stall,,
spun,,
plopped into,,
pigtail,,
daft,,
frothy,,
bouffant,,
eyelids,,
contemplating,,
cynosure,,
magpie coat,,
come the revolution,,
thou,,
thy,,
indigo,,
stolid,,
stocky,,
sway,,
turf,,
stifling,,
scaffolding,,
mandoline,,
ocarina,,
mulberry,,
yearning,,
despairing,,
blusher,,
to kiss on the mouth,,
sacrilege,,
paperback,,
thrust into kit bags,,
vaguely,,
benignity,,
adder,,
jerkily,,
stammering,,
let forth a shriek,,
as aghast as,,
aghast,,
harebells,,
dogwood,,
fibrous,,
coagulated blood,,
coagulate,,
to be a liver in hands,,
fuddy-duddy,,
gag,,
omniscience,,
drought,,
deluge,,
tarpaulin,,
to lol all round,,
dispersed,,
gaily,,
refugee,,
freemasonry,,
foliage,,
aridity,,
to embrace someone,,
doggedly,,
dispirited,,
conglomeration,,
bodice,,
neglige,,
aerials,,
sprouted,,
juddered,,
gale,,
bereaved,,
mortuary,,
intercourse,,
maternal favour,,
semidetached house,,
mortgage,,
dissipated,,
exodus,,
environs,,
detritus,,
annuals,,
veto,,
querulously,,
arduous,,
carefree,,
uproar,,
tarty,,
grindstone,,
considerably,,
frock,,
